name,standard_name,parent_company,country_hq,industry,involvement_types,data_sources,confidence_score
& Other Stories,,H&M Group,,,,bdscoalition.ca,0
.406 Ventures,,,,,,bdscoalition.ca,0
01A,,,,,,bdscoalition.ca,0
10D,,,,,,bdscoalition.ca,0
10X Capital,,,,,,bdscoalition.ca,0
186 Ventures,,,,,,bdscoalition.ca,0
1948 Ventures,,,,,,bdscoalition.ca,0
2 Twelve,,,,,,bdscoalition.ca,0
20VC,,,,,,bdscoalition.ca,0
24S,,LVMH,,,,bdscoalition.ca,0
25madison,,,,,,bdscoalition.ca,0
355 CAPITAL,,,,,,bdscoalition.ca,0
360 Venture Collective,,,,,,bdscoalition.ca,0
3CE,,L'Oreal,,,,bdscoalition.ca,0
3SE Holdings,,,,,,bdscoalition.ca,0
4 Star Chocolate,,Mondelez International,,,,bdscoalition.ca,0
408 Ventures,,,,,,bdscoalition.ca,0
5 Second Nail,,American International Industries,,,,bdscoalition.ca,0
6 Days Cake Bar,,Mondelez International,,,,bdscoalition.ca,0
7 For All Mankind,,Delta Galil Industries,,,,bdscoalition.ca,0
7 Up,,Keurig Dr Pepper,,,,bdscoalition.ca,0
75 and Sunny Ventures,,,,,,bdscoalition.ca,0
7UP,,,,,,bdscoalition.ca,0
7wireVentures,,,,,,bdscoalition.ca,0
81 Collection,,,,,,bdscoalition.ca,0
8VC,,,,,,bdscoalition.ca,0
8X4 Deodorant,,Beiersdorf,,,,bdscoalition.ca,0
91 Ventures,,,,,,bdscoalition.ca,0
97212 Ventures,,,,,,bdscoalition.ca,0
9Yards Capital,,,,,,bdscoalition.ca,0
A Colheita Ministry,,,,,,bdscoalition.ca,0
A Rocha Canada,,Canadian Council of Churches,,,,bdscoalition.ca,0
A&W,,Keurig Dr Pepper,,,,bdscoalition.ca,0
A* Capital,,,usa,,,bdscoalition.ca,0
A. Barkan and Co.,,,,,,bdscoalition.ca,0
A. Hezi Building and Investment Co.,,,,,,bdscoalition.ca,0
A.A. Silber Foundation,,,,,,bdscoalition.ca,0
A.B. Plan,,,,,,bdscoalition.ca,0
A.P. Moller  Maersk A/S,,,,,,bdscoalition.ca,0
A1 Cash + Carry,,,,,,bdscoalition.ca,0
